,admin1Pcod_1,admin1Name_1,admin2Pcod_1,admin2Name_1,local_date_1,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,minutes/trip,trip_miles/person,miles/person,minutes/person,trips/person,date_1,0_14_pct,15_64_pct,65p_pct,M_pct,Population,rwi,rwi_pctl,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
15440,ZA3,Nothern Cape,ZA308,Z F Mgcawu,2020-10-18,677,393,279,91045509.4194716,19815766.77262938,10888633,268.06088133924175,44.13242517779808,202.77081267323476,650.4559737156511,2.42652329749104,20201018,0.27601757542529287,0.6641943181028425,0.059788106471864645,0.5142626583989065,258998.0,-0.04016603773584906,0.46153846153846156,1,1,1,0,1,0,0,0,0
15441,ZA3,Nothern Cape,ZA345,John Taolo Gaetsewe,2020-10-18,585,339,260,52034420.446472526,13891408.158712417,8231727,234.5221367521368,33.19892634397908,124.35649950078208,527.6748076923077,2.25,20201018,0.31986957060536586,0.628082594956317,0.05204783443831712,0.4959027820806741,258224.0,-0.13480926430517712,0.3076923076923077,1,1,1,0,1,0,0,0,0
15442,ZA2,Eastern Cape,ZA215,O.R.Tambo,2020-10-18,566,307,256,47869942.38994218,14144725.392073534,11602610,341.65518256772674,34.33251906540009,116.19141865301118,755.3782552083334,2.2109375,20201018,0.38804558548824664,0.5482866433400703,0.06366777117168307,0.4623163104135049,1358678.0,-0.23807536101083035,0.1346153846153846,1,1,1,0,1,0,0,0,0
15443,ZA5,KwaZulu-Natal,ZA523,Uthukela,2020-10-18,938,523,404,144129242.19001445,38949598.63444633,12538460,222.78713574982237,59.90633302141473,221.67762142542756,517.263201320132,2.3217821782178216,20201018,0.36014331224838336,0.5864396074090654,0.05341708034255123,0.46782833191779016,652282.0,-0.19841226215644822,0.19230769230769232,1,1,1,0,1,0,0,0,0
15444,ZA5,KwaZulu-Natal,ZA526,Zululand,2020-10-18,516,307,222,42053913.4300028,13409627.270363811,8136638,262.8113049095607,37.53313551551454,117.7076140821913,610.8587087087087,2.324324324324324,20201018,0.392497537624586,0.5542130860581069,0.053289376317307055,0.4651401640222711,783796.0,-0.2762355212355212,0.09615384615384616,1,1,1,0,1,0,0,0,0
15445,ZA2,Eastern Cape,ZA244,Alfred Nzo,2020-10-18,216,122,104,13464464.483647222,3469264.828625205,3935146,303.6378086419753,20.727896372595136,80.44644566385685,630.6323717948718,2.076923076923077,20201018,0.40782127157510134,0.5221222097470932,0.07005651867780548,0.4576553946475353,788235.0,-0.27396673320026615,0.11538461538461539,1,1,1,0,1,0,0,0,0
15446,ZA6,North West,ZA640,Dr Kenneth Kaunda,2020-10-18,3599,2150,1548,249998142.9257401,86165019.50322808,38176754,176.79334074279893,34.58686104513822,100.34989930677423,411.0330964685616,2.324935400516796,20201018,0.27505895171327793,0.6602340041700301,0.06470704411669191,0.5065976875287468,754431.0,-0.10069384057971015,0.38461538461538464,1,1,1,0,1,0,0,0,0
15447,ZA9,Limpopo,ZA935,Capricorn,2020-10-18,2499,1361,1008,157166902.31525326,49603099.43787127,36016877,240.20859677204217,30.57731848846935,96.88391415860866,595.5171461640213,2.4791666666666665,20201018,0.3265897738288558,0.6007690312860821,0.07264119488506209,0.472231826966417,1295656.0,0.07397387387387387,0.6346153846153846,1,1,1,0,1,0,0,0,0
15448,ZA3,Nothern Cape,ZA306,Namakwa,2020-10-18,205,125,100,67526961.09171046,11929195.87386802,3622450,294.5081300813008,74.12458662578057,419.5930832172019,603.7416666666667,2.05,20201018,0.2479438366342976,0.6592106724059887,0.09284549095971371,0.5132337492633683,117087.0,0.06505633802816901,0.6153846153846154,1,1,1,0,1,0,0,0,0
15449,ZA2,Eastern Cape,ZA292,Buffalo City,2020-10-18,2791,1551,1107,157593549.42337838,42026627.59526825,32864888,196.2551534694853,23.59000514416104,88.45898075349399,494.8040951520626,2.521228545618789,20201018,0.254980022080858,0.6758306608485358,0.06918931707060617,0.48177934914042375,760840.0,0.09585175879396986,0.6923076923076923,1,1,1,0,1,0,0,0,0
