,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new_cases_1,new_cases_2,first_case,ban_travel,lockdown
20582,ZA4,Free State,ZA7,Gauteng,2021-04-02,2021-04-05,1,1,1,171340.80703173272,79992.1655754118,240827,20210402,20210405,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2248492570676798,0.7777777777777778,0.6706237180439658,1.0,128.0,120.0,1,1,1
20583,ZA4,Free State,ZA7,Gauteng,2021-04-02,2021-04-03,83,83,83,15018429.745962592,6316052.544571951,3064190,20210402,20210403,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2248492570676798,0.7777777777777778,0.6706237180439658,1.0,128.0,228.0,1,1,1
20584,ZA5,KwaZulu-Natal,ZA5,KwaZulu-Natal,2021-04-02,2021-04-08,3,3,3,336043.9338935459,11147.26513475414,1530661,20210402,20210408,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.07735186107982292,0.5555555555555556,0.07735186107982292,0.5555555555555556,133.0,107.0,1,1,1
20585,ZA3,Nothern Cape,ZA1,Western Cape,2021-04-02,2021-04-03,6,6,6,10919398.411347069,3738171.185277069,393241,20210402,20210403,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.09958456723393624,0.6666666666666666,0.48495156727992644,0.8888888888888888,130.0,117.0,1,1,1
20586,ZA1,Western Cape,ZA1,Western Cape,2021-04-02,2021-04-02,52152,27348,18815,5559667906.217911,920426280.2997408,284183182,20210402,20210402,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.48495156727992644,0.8888888888888888,0.48495156727992644,0.8888888888888888,162.0,162.0,1,1,1
20587,ZA6,North West,ZA4,Free State,2021-04-02,2021-04-03,7,7,7,1538624.7408643337,965137.0264012408,230015,20210402,20210403,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,-0.04677388157695324,0.1111111111111111,0.2248492570676798,0.7777777777777778,137.0,108.0,1,1,1
20588,ZA7,Gauteng,ZA1,Western Cape,2021-04-02,2021-04-02,198,198,198,480819159.77960265,248539686.65078804,4707969,20210402,20210402,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.6706237180439658,1.0,0.48495156727992644,0.8888888888888888,415.0,162.0,1,1,1
20590,ZA1,Western Cape,,,2021-04-02,2021-04-03,6,6,6,499235.4747442369,18727.476260726176,311821,20210402,20210403,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,,,,,,0.48495156727992644,0.8888888888888888,,,162.0,,1,1,1
20591,ZA7,Gauteng,ZA7,Gauteng,2021-04-02,2021-04-03,9387,9381,9381,319535710.8114241,102596014.88848664,325980301,20210402,20210403,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.6706237180439658,1.0,0.6706237180439658,1.0,415.0,228.0,1,1,1
20592,ZA8,Mpumalanga,ZA8,Mpumalanga,2021-04-02,2021-04-03,1420,1419,1418,80135625.38292006,20175051.92724335,54842526,20210402,20210403,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.0523010419666447,0.4444444444444444,0.0523010419666447,0.4444444444444444,125.0,102.0,1,1,1
20593,ZA8,Mpumalanga,ZA6,North West,2021-04-02,2021-04-02,17,17,17,8907564.454925448,4720525.146877239,364382,20210402,20210402,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.0523010419666447,0.4444444444444444,-0.04677388157695324,0.1111111111111111,125.0,137.0,1,1,1
