,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,trip_miles/person,miles/person,minutes/trip,minutes/person,trips/person,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new_cases_1,new_cases_2,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
44549,ZA4,Free State,ZA8,Mpumalanga,2020-06-11,2020-06-11,15,15,15,5787634.210736949,2111053.121154797,213977,87.44983965122006,239.7512779839466,237.75222222222223,237.75222222222223,1.0,20200611,20200611,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.2248492570676798,0.7777777777777778,0.0523010419666447,0.4444444444444444,5.0,21.0,1,1,3,0,0,0,1,0,0
44550,ZA4,Free State,ZA4,Free State,2020-06-11,2020-06-12,605,605,605,23551792.50724336,9341442.40850701,19474713,9.594220176182468,24.18909981744152,536.4934710743802,536.4934710743802,1.0,20200611,20200612,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.2248492570676798,0.7777777777777778,0.2248492570676798,0.7777777777777778,5.0,29.0,1,1,3,0,0,0,1,0,0
44551,ZA5,KwaZulu-Natal,ZA7,Gauteng,2020-06-11,2020-06-11,38,38,37,38425884.92331236,19542734.2719708,927489,328.1970836257271,645.3172412857621,406.7934210526316,417.78783783783786,1.027027027027027,20200611,20200611,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.07735186107982292,0.5555555555555556,0.6706237180439658,1.0,125.0,758.0,1,1,3,0,0,0,1,0,0
44552,ZA6,North West,ZA9,Limpopo,2020-06-11,2020-06-11,27,27,25,8481933.099612467,3990596.226763642,364251,99.1856614064772,210.81715530334017,224.8462962962963,242.834,1.08,20200611,20200611,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,-0.04677388157695324,0.1111111111111111,-0.020299216875639643,0.3333333333333333,100.0,10.0,1,1,3,0,0,0,1,0,0
44553,ZA7,Gauteng,ZA5,KwaZulu-Natal,2020-06-11,2020-06-11,46,46,45,50424694.36980324,24772141.67178041,1196397,342.05989344147423,696.2767213059515,433.4771739130435,443.11,1.022222222222222,20200611,20200611,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.6706237180439658,1.0,0.07735186107982292,0.5555555555555556,758.0,125.0,1,1,3,0,0,0,1,0,0
44554,ZA1,Western Cape,ZA2,Eastern Cape,2020-06-11,2020-06-26,1,1,1,84136.51790190101,81880.3790769309,1332793,50.87810876787741,52.280008439402025,22213.216666666667,22213.216666666667,1.0,20200611,20200626,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.48495156727992644,0.8888888888888888,-0.04666754827373582,0.2222222222222222,1401.0,1451.0,1,1,3,0,0,0,1,0,0
44555,ZA6,North West,ZA6,North West,2020-06-11,2020-06-12,646,646,646,15767002.2360919,6033882.393724789,21081594,5.803840087939057,15.16588386602033,543.9007739938081,543.9007739938081,1.0,20200611,20200612,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,-0.04677388157695324,0.1111111111111111,-0.04677388157695324,0.1111111111111111,100.0,108.0,1,1,3,0,0,0,1,0,0
44556,ZA6,North West,ZA4,Free State,2020-06-11,2020-06-11,104,104,102,27221649.404054716,10871726.50856075,1024257,66.22919276767276,165.8308700476881,164.14375,167.36225490196077,1.0196078431372548,20200611,20200611,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,-0.04677388157695324,0.1111111111111111,0.2248492570676798,0.7777777777777778,100.0,5.0,1,1,3,0,0,0,1,0,0
44557,ZA4,Free State,ZA2,Eastern Cape,2020-06-11,2020-06-11,25,25,24,12345053.494964777,4708746.774226761,251407,121.9116498768743,319.6191920166637,167.60466666666667,174.58819444444444,1.0416666666666667,20200611,20200611,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.2248492570676798,0.7777777777777778,-0.04666754827373582,0.2222222222222222,5.0,714.0,1,1,3,0,0,0,1,0,0
44558,ZA5,KwaZulu-Natal,ZA5,KwaZulu-Natal,2020-06-11,2020-06-12,2070,2070,2068,56735715.94672936,27307515.04923866,71432539,8.205078908696501,17.04735950689456,575.1412157809984,575.6974451966473,1.0009671179883946,20200611,20200612,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.07735186107982292,0.5555555555555556,0.07735186107982292,0.5555555555555556,125.0,101.0,1,1,3,0,0,0,1,0,0
